date,cn_10y_yield
2020-02-04,2.8551
2020-02-05,2.844
2020-02-06,2.8392
2020-02-07,2.8024
2020-02-10,2.7872
2020-02-11,2.834
2020-02-12,2.8333
2020-02-13,2.8201
2020-02-14,2.8631
2020-02-17,2.8928
2020-02-18,2.8664
2020-02-19,2.8776
2020-02-20,2.8857
2020-02-21,2.847
2020-02-24,2.812
2020-02-25,2.822
2020-02-26,2.7973
2020-02-27,2.7702
2020-02-28,2.7376
2020-03-02,2.7428
2020-03-03,2.7478
2020-03-04,2.673
2020-03-05,2.6829
2020-03-06,2.628
2020-03-09,2.5205
2020-03-10,2.613
2020-03-11,2.6079
2020-03-12,2.6379
2020-03-13,2.6759
2020-03-16,2.6758
2020-03-17,2.7135
2020-03-18,2.7136
2020-03-19,2.7299
2020-03-20,2.6815
2020-03-23,2.6315
2020-03-24,2.6289
2020-03-25,2.6289
2020-03-26,2.594
2020-03-27,2.609
2020-03-30,2.6142
2020-03-31,2.5899
2020-04-01,2.555
2020-04-02,2.5854
2020-04-03,2.5965
2020-04-07,2.5112
2020-04-08,2.4824
2020-04-09,2.5226
2020-04-10,2.5403
2020-04-13,2.5658
2020-04-14,2.5591
2020-04-15,2.5455
2020-04-16,2.5276
2020-04-17,2.559
2020-04-20,2.592
2020-04-21,2.5791
2020-04-22,2.5567
2020-04-23,2.5227
2020-04-24,2.51
2020-04-26,2.5205
2020-04-27,2.5345
2020-04-28,2.5254
2020-04-29,2.5009
2020-04-30,2.538
2020-05-06,2.5809
2020-05-07,2.6298
2020-05-08,2.6207
2020-05-09,2.64
2020-05-11,2.6698
2020-05-12,2.6603
2020-05-13,2.7076
2020-05-14,2.6989
2020-05-15,2.682
2020-05-18,2.7253
2020-05-19,2.7272
2020-05-20,2.69
2020-05-21,2.685
2020-05-22,2.6176
2020-05-25,2.6852
2020-05-26,2.7402
2020-05-27,2.7527
2020-05-28,2.7201
2020-05-29,2.7053
2020-06-01,2.7253
2020-06-02,2.7852
2020-06-03,2.7901
2020-06-04,2.8301
2020-06-05,2.8475
2020-06-08,2.8101
2020-06-09,2.8031
2020-06-10,2.8201
2020-06-11,2.7701
2020-06-12,2.7451
2020-06-15,2.7878
2020-06-16,2.8402
2020-06-17,2.8802
2020-06-18,2.8527
2020-06-19,2.8752
2020-06-22,2.9153
2020-06-23,2.9127
2020-06-24,2.8614
2020-06-28,2.8404
2020-06-29,2.8504
2020-06-30,2.823
2020-07-01,2.8456
2020-07-02,2.8584
2020-07-03,2.8974
2020-07-06,2.9959
2020-07-07,3.0158
2020-07-08,3.0632
2020-07-09,3.0809
2020-07-10,3.0305
2020-07-13,3.0557
2020-07-14,3.0057
2020-07-15,2.9559
2020-07-16,2.9459
2020-07-17,2.9507
2020-07-20,2.9311
2020-07-21,2.9011
2020-07-22,2.8861
2020-07-23,2.9064
2020-07-24,2.8612
2020-07-27,2.8791
2020-07-28,2.9214
2020-07-29,2.9415
2020-07-30,2.9364
2020-07-31,2.9664
2020-08-03,2.9466
2020-08-04,2.9365
2020-08-05,2.9592
2020-08-06,2.9816
2020-08-07,2.9918
2020-08-10,2.9543
2020-08-11,2.9544
2020-08-12,2.962
2020-08-13,2.9555
2020-08-14,2.9369
2020-08-17,2.9421
2020-08-18,2.9771
2020-08-19,2.9921
2020-08-20,2.9973
2020-08-21,2.9823
2020-08-24,2.9998
2020-08-25,3.0424
2020-08-26,3.0511
2020-08-27,3.0599
2020-08-28,3.0672
2020-08-31,3.0177
2020-09-01,3.0478
2020-09-02,3.1027
2020-09-03,3.1051
2020-09-04,3.1228
2020-09-07,3.1454
2020-09-08,3.123
2020-09-09,3.0805
2020-09-10,3.0833
2020-09-11,3.1346
2020-09-14,3.1532
2020-09-15,3.1083
2020-09-16,3.126
2020-09-17,3.1334
2020-09-18,3.1162
2020-09-21,3.0999
2020-09-22,3.0863
2020-09-23,3.089
2020-09-24,3.084
2020-09-25,3.1295
2020-09-27,3.1324
2020-09-28,3.1092
2020-09-29,3.1292
2020-09-30,3.1482
2020-10-09,3.1873
2020-10-10,3.1898
2020-10-12,3.1861
2020-10-13,3.195
2020-10-14,3.215
2020-10-15,3.23
2020-10-16,3.2202
2020-10-19,3.2005
2020-10-20,3.1955
2020-10-21,3.1855
2020-10-22,3.1707
2020-10-23,3.1957
2020-10-26,3.1934
2020-10-27,3.1609
2020-10-28,3.181
2020-10-29,3.186
2020-10-30,3.181
2020-11-02,3.1785
2020-11-03,3.1762
2020-11-04,3.1687
2020-11-05,3.1912
2020-11-06,3.2063
2020-11-09,3.2363
2020-11-10,3.2241
2020-11-11,3.2391
2020-11-12,3.2614
2020-11-13,3.2715
2020-11-16,3.2741
2020-11-17,3.2866
2020-11-18,3.324
2020-11-19,3.3487
2020-11-20,3.31
2020-11-23,3.265
2020-11-24,3.29
2020-11-25,3.2675
2020-11-26,3.285
2020-11-27,3.3
2020-11-30,3.25
2020-12-01,3.2725
2020-12-02,3.2925
2020-12-03,3.2851
2020-12-04,3.2651
2020-12-07,3.2701
2020-12-08,3.2551
2020-12-09,3.2726
2020-12-10,3.2601
2020-12-11,3.2951
2020-12-14,3.2851
2020-12-15,3.2777
2020-12-16,3.2752
2020-12-17,3.2802
2020-12-18,3.2902
2020-12-21,3.2652
2020-12-22,3.2278
2020-12-23,3.2153
2020-12-24,3.2303
2020-12-25,3.1878
2020-12-28,3.1629
2020-12-29,3.1554
2020-12-30,3.1204
2020-12-31,3.1429
2021-01-04,3.178
2021-01-05,3.1305
2021-01-06,3.1256
2021-01-07,3.1256
2021-01-08,3.1456
2021-01-11,3.1632
2021-01-12,3.1457
2021-01-13,3.1157
2021-01-14,3.1059
2021-01-15,3.1508
2021-01-18,3.1658
2021-01-19,3.1609
2021-01-20,3.161
2021-01-21,3.1335
2021-01-22,3.1185
