factor,factor_desc,hold_period,ic_mean,ir,t_stat,win_rate,sample_size
CU_price,CU价格（自身）,20,-0.5376375581343129,-1.4710989072164478,-55.8823985572897,0.11088011088011088,1443
CU_price,CU价格（自身）,10,-0.48919188859078294,-1.592977412591952,-60.721490716235735,0.09841706813489333,1453
CU_spot,CU现货价,20,-0.44230194908529413,-1.1941130152174932,-44.74340033936833,0.13603988603988604,1404
LME_copper,LME铜价,20,-0.44230194908529413,-1.1941130152174932,-44.74340033936833,0.13603988603988604,1404
CU_price,CU价格（自身）,5,-0.4261227651669733,-1.7334810722424012,-66.190835947021,0.07956104252400549,1458
LME_copper,LME铜价,10,-0.38244824465423227,-1.214909301130162,-45.68446692806239,0.1265912305516266,1414
CU_spot,CU现货价,10,-0.38244824465423227,-1.214909301130162,-45.68446692806239,0.1265912305516266,1414
CU_AL_ratio,CU/AL比价,20,0.29088851566292717,0.8801611767020303,32.979628720632945,0.8098290598290598,1404
CU_spot,CU现货价,5,-0.28327887569366794,-1.1965790911671041,-45.07467536092254,0.1303735024665257,1419
LME_copper,LME铜价,5,-0.28327887569366794,-1.1965790911671041,-45.07467536092254,0.1303735024665257,1419
CU_AL_ratio,CU/AL比价,10,0.2243528394055977,0.822643197718062,30.934009579798143,0.7659123055162659,1414
USD_CNY,USD/CNY,10,0.13043387556962047,0.35322298302103006,13.459603365856184,0.6315426997245179,1452
USD_CNY,USD/CNY,5,0.10859625016826553,0.379759728187236,14.495683023910699,0.6218256691832532,1457
USD_CNY,USD/CNY,20,0.10422756198246606,0.23255244655548185,8.830871047369667,0.5755894590846047,1442
CU_AL_ratio,CU/AL比价,5,0.09089318531044353,0.4383589223114338,16.512812450599963,0.6610288935870331,1419
