,金银比,美元人民币,布伦特原油
AG,-0.04966194313235159,-0.0414003889969436,-0.058886727794757815
AL,0.07687320552005188,-0.10597388163378718,-0.049458182828563506
AO,0.08854311382791519,0.0023525053255533924,-0.009039548022598874
AU,-0.06631471705103271,-0.033231453181439295,0.13296286005371866
BR,-0.037306659257201086,0.04945818282856349,0.025784940261183668
CU,0.026562934148374556,-0.0911179031212374,-0.07602111697693804
EC,0.15156061869037699,0.03762156154487358,-0.13020283412058906
I,0.019560989163656572,0.17173288876539783,-0.051977401129943514
JM,0.053922385847920744,0.012873946466611096,-0.06146151708808004
LC,0.1004353061035473,-0.12857275169028437,0.06838936741687507
LH,0.007270639122297316,-0.07586471980985647,0.06339812075429953
M,0.09382235806242478,0.01050291747707697,0.26273964990275084
NI,-0.010206538853385202,-0.1297953135130129,0.03593590812262666
NR,0.09636143876226916,-0.024497885959842553,-0.05473818753220019
P,0.24788367139020104,-0.10652959155320925,0.021932018153190708
PB,0.2359729554505882,-0.1342965638603316,-0.0590904880985459
RB,0.1339260905807169,0.18690376956562013,-0.09619338705195889
RU,0.11286468463462074,-0.12316384180790964,-0.06448087431693991
SA,0.11842178382884137,0.12805408909882376,-0.01985736778734834
SC,-0.06438825599703622,-0.07005649717514126,-0.17295545058812634
SN,0.037695656200796526,-0.018042048717236272,-0.2580902102435862
TA,0.2478651477262203,0.1121607854033528,-0.2842085764564231
ZN,0.10417708622765585,-0.1202741502269149,0.03436139668426416
